"","species","input","matched_name","SYNONYM","contributor","review_flag","match_code","match_sim","SPECIES_NR","VALID_NR"
"606","peperomia denticularis","peperomia denticularis","Peperomia lenticularis","Synonym","GBIF2026","CHECK_fuzzy",2,0.944444444444444,7016,7015
"607","peperomia duartei","peperomia duartei","Peperomia duartensis","Synonym","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.94,6966,6959
"608","peperomia ellipticorhombea","peperomia ellipticorhombea","Peperomia elliptico-rhombea","Accepted","peperomia_net2025","CHECK_fuzzy",2,0.988235294117647,62000,62000
"609","peperomia endlichii","peperomia endlichii","Peperomia endlicheri","Synonym","GBIF2026; HUA2025","CHECK_fuzzy",2,0.937777777777778,7397,7396
"610","peperomia flavescens","peperomia flavescens","Peperomia fulvescens","Accepted","ATRIUM2017; GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.94,62097,62097
"611","peperomia fragilissima","peperomia fragilissima","Peperomia fragilis","Accepted","peperomia_net2025","CHECK_fuzzy",2,0.933333333333333,62096,62096
"612","peperomia gilbertii","peperomia gilbertii","Peperomia gilberti","Synonym","peperomia_net2025","CHECK_fuzzy",2,0.977777777777778,62410,62406
"613","peperomia glabellata","peperomia glabellata","Peperomia glabella","Accepted","literature2021","CHECK_fuzzy",2,0.96,7086,7086
"614","peperomia glaziovii","peperomia glaziovii","Peperomia glazioui","Accepted","GBIF2026","CHECK_fuzzy",2,0.930555555555556,62111,62111
"615","peperomia gloriosifolia","peperomia gloriosifolia","Peperomia gloriosaefolia","Synonym","peperomia_net2025","CHECK_fuzzy",2,0.939377289377289,13010,13007
"616","peperomia gracilispica","peperomia gracilispica","Peperomia gracilis","Accepted","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.933333333333333,62123,62123
"617","peperomia guanensis","peperomia guanensis","Peperomia gatunensis","Synonym","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.936666666666667,7292,7285
"618","peperomia guttata","peperomia guttata","Peperomia guttulata","Accepted","literature2021","CHECK_fuzzy",2,0.955555555555556,62151,62151
"619","peperomia herbert-smithii","peperomia herbert-smithii","Peperomia herbertsmithii","Synonym","GBIF2026; peperomia_net2025","CHECK_fuzzy",2,0.986666666666667,62495,62494
"620","peperomia hernandifolia","peperomia hernandifolia","Peperomia hernandiifolia","Accepted","literature2021","CHECK_fuzzy",2,0.954945054945055,62176,62176
"621","peperomia humillis","peperomia humillis","Peperomia humilis","Accepted","HEM2025","CHECK_fuzzy",2,0.975,62237,62237
