occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
HIP2025_0036,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,Edmundo Pisano,5915,Edmundo Pisano,NV,HIP2025,0,,-50.45,-73.6166667,31369,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0037,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,Edmundo Pisano,6102,Edmundo Pisano,NV,HIP2025,0,,-50.5,-73.7333333,31397,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0038,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,Edmundo Pisano,6185,Edmundo Pisano,NV,HIP2025,0,,-51.6333333,-73.4,32109,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0039,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,Edmundo Pisano,6474,Edmundo Pisano,NV,HIP2025,0,,-49.5166667,-73.9666667,32497,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0040,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,"Krause, D.E.",,Edmundo Pisano,NV,HIP2025,0,,-53.6833333,-72.8666667,1989/01/00,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0041,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,Edmundo Pisano,6593,Edmundo Pisano,NV,HIP2025,0,,-53.7333333,-72.3,,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0042,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,"Edmundo Pisano; HernÃ¡ndez, J.",6615,Edmundo Pisano,NV,HIP2025,0,,-53.5166667,-72.7666667,32924,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0043,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,"Palma, L; HenrÃ­quez, J.",8,Edmundo Pisano,NV,HIP2025,0,,-53.5166667,-72.7666667,32928,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0044,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,"Palma, L; HenrÃ­quez, J.",87,Edmundo Pisano,NV,HIP2025,0,,-54.55,-70.6,33316,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0045,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,"Palma, L; HenrÃ­quez, J.",93,Edmundo Pisano,NV,HIP2025,0,,-54.55,-70.6,33317,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
