"","occurrenceID","country","countryCode","stateProvince","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","datasetID",".ok_for_analysis","eventDate","changes","discardReason","ok.2"
"2170","peperomia_net2025_02170","Costa Rica","CR","Limon","Limon",9.99445,-83.0307,500,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Change: Coordinates updated through geospatial cross-referencing based on locality match | Change: Administrative division (State/Province) populated via geospatial lookup",TRUE
"2171","peperomia_net2025_02171","Venezuela","VE","Miranda","Caracas",10.48801,-66.87919,250,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Change: Coordinates updated through geospatial cross-referencing based on locality match | Change: Administrative division (State/Province) populated via geospatial lookup",TRUE
"2172","peperomia_net2025_02172","Samoa","WS",NA,"",NA,NA,NA,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Impossible to correct, since no spatial or text location information is available to infer administrative division",TRUE
"2173","peperomia_net2025_02173","Samoa","WS",NA,"Upolu",-13.91893,-171.7582,800,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Change: Coordinates updated through geospatial cross-referencing based on locality match",TRUE
"2174","peperomia_net2025_02174","Samoa","WS",NA,"",NA,NA,NA,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Impossible to correct, since no spatial or text location information is available to infer administrative division",TRUE
"2175","peperomia_net2025_02175","Samoa","WS",NA,"",NA,NA,NA,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Impossible to correct, since no spatial or text location information is available to infer administrative division",TRUE
"2176","peperomia_net2025_02176","Samoa","WS",NA,"Savaii",-13.98333,-171.9,500,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Change: Coordinates updated through geospatial cross-referencing based on locality match",TRUE
"2177","peperomia_net2025_02177","Panama","PA","Panama","San Blas",9.25,-78.25,1800,"peperomia_net2025",TRUE,"","change1: Parsed DMS/DDM latitude → decimal degrees. | change2: Parsed DMS/DDM longitude → decimal degrees. | change3: Corrected longitude sign for Western Hemisphere (made negative). | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Change: Coordinates updated through geospatial cross-referencing based on locality match",TRUE
"2178","peperomia_net2025_02178","Peru","PE","Huanuco","San Buenaventura",-8.767513,-77.1877882,250,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Change: Coordinates updated through geospatial cross-referencing based on locality match | Change: Administrative division (State/Province) populated via geospatial lookup",TRUE
"2179","peperomia_net2025_02179","Venezuela","VE","Cojedes","San Carlos",9.6712877,-68.5905516,1000,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Change: Coordinates updated through geospatial cross-referencing based on locality match | Change: Administrative division (State/Province) populated via geospatial lookup",TRUE
